Sex,Single Year of Age,VALUE
Male,44 years,586
Male,44 years,1181
Male,44 years,465
Male,45 years,37710
Male,45 years,447
Male,45 years,4016
Male,45 years,1443
Male,45 years,2788
Male,45 years,2222
Male,45 years,1959
Male,45 years,770
Male,45 years,721
Male,45 years,365
Male,45 years,968
Male,45 years,1719
Male,45 years,623
Male,45 years,701
Male,45 years,1166
Male,45 years,1194
Male,45 years,936
Male,45 years,1495
Male,45 years,2866
Male,45 years,1147
Male,45 years,1566
Male,45 years,1237
Male,45 years,921
Male,45 years,584
Male,45 years,1462
Male,45 years,267
Male,45 years,931
Male,45 years,481
Male,45 years,492
Male,45 years,538
Male,45 years,1193
Male,45 years,492
Male,46 years,37289
Male,46 years,463
Male,46 years,3858
Male,46 years,1546
Male,46 years,2681
Male,46 years,2145
Male,46 years,1957
Male,46 years,807
Male,46 years,665
Male,46 years,333
Male,46 years,1055
Male,46 years,1770
Male,46 years,638
Male,46 years,644
Male,46 years,1137
Male,46 years,1171
Male,46 years,902
Male,46 years,1520
Male,46 years,2783
Male,46 years,1089
Male,46 years,1541
Male,46 years,1194
Male,46 years,878
Male,46 years,577
Male,46 years,1464
Male,46 years,244
Male,46 years,974
Male,46 years,481
Male,46 years,469
Male,46 years,587
Male,46 years,1239
Male,46 years,477
Male,47 years,37053
Male,47 years,453
Male,47 years,3801
Male,47 years,1510
Male,47 years,2715
Male,47 years,2105
Male,47 years,1933
Male,47 years,738
Male,47 years,684
Male,47 years,355
Male,47 years,986
Male,47 years,1778
Male,47 years,622
Male,47 years,712
Male,47 years,1126
Male,47 years,1208
Male,47 years,882
Male,47 years,1501
Male,47 years,2801
Male,47 years,1151
Male,47 years,1505
Male,47 years,1258
Male,47 years,886
Male,47 years,569
Male,47 years,1412
Male,47 years,244
Male,47 years,919
Male,47 years,529
Male,47 years,508
Male,47 years,588
Male,47 years,1119
Male,47 years,455
Male,48 years,36472
Male,48 years,411
Male,48 years,3741
Male,48 years,1561
Male,48 years,2614
Male,48 years,2084
Male,48 years,1930
Male,48 years,796
Male,48 years,665
Male,48 years,307
Male,48 years,1010
Male,48 years,1692
Male,48 years,596
Male,48 years,656
Male,48 years,1159
Male,48 years,1190
Male,48 years,958
Male,48 years,1394
Male,48 years,2820
Male,48 years,1138
Male,48 years,1450
Male,48 years,1167
Male,48 years,885
Male,48 years,483
Male,48 years,1464
Male,48 years,243
Male,48 years,905
Male,48 years,508
Male,48 years,466
Male,48 years,562
Male,48 years,1151
Male,48 years,466
Male,49 years,36650
Male,49 years,453
Male,49 years,3701
Male,49 years,1555
Male,49 years,2562
Male,49 years,2070
Male,49 years,1921
Male,49 years,816
Male,49 years,661
Male,49 years,366
Male,49 years,1025
Male,49 years,1751
Male,49 years,611
Male,49 years,684
Male,49 years,1184
Male,49 years,1196
Male,49 years,941
Male,49 years,1466
Male,49 years,2691
Male,49 years,1100
Male,49 years,1474
Male,49 years,1242
Male,49 years,909
Male,49 years,489
Male,49 years,1463
Male,49 years,238
Male,49 years,918
Male,49 years,502
Male,49 years,448
Male,49 years,555
Male,49 years,1187
Male,49 years,471
Male,50 years,36050
Male,50 years,443
Male,50 years,3753
Male,50 years,1494
Male,50 years,2434
Male,50 years,1926
Male,50 years,1911
Male,50 years,726
Male,50 years,692
Male,50 years,309
Male,50 years,1050
Male,50 years,1700
Male,50 years,594
Male,50 years,673
Male,50 years,1193
Male,50 years,1156
Male,50 years,946
Male,50 years,1424
Male,50 years,2708
Male,50 years,1164
Male,50 years,1496
Male,50 years,1131
Male,50 years,869
Male,50 years,469
Male,50 years,1392
Male,50 years,264
Male,50 years,971
Male,50 years,488
Male,50 years,424
Male,50 years,604
Male,50 years,1185
Male,50 years,461
Male,51 years,34926
Male,51 years,379
Male,51 years,3567
Male,51 years,1470
Male,51 years,2252
Male,51 years,1894
Male,51 years,1821
Male,51 years,694
Male,51 years,660
Male,51 years,328
Male,51 years,1025
Male,51 years,1587
Male,51 years,537
Male,51 years,654
Male,51 years,1182
Male,51 years,1177
Male,51 years,916
Male,51 years,1372
Male,51 years,2684
Male,51 years,1120
Male,51 years,1413
Male,51 years,1174
Male,51 years,867
Male,51 years,498
Male,51 years,1406
Male,51 years,225
Male,51 years,955
Male,51 years,495
Male,51 years,495
Male,51 years,537
Male,51 years,1129
Male,51 years,413
Male,52 years,34356
Male,52 years,420
Male,52 years,3453
Male,52 years,1409
Male,52 years,2153
Male,52 years,1855
Male,52 years,1749
Male,52 years,742
Male,52 years,656
Male,52 years,319
Male,52 years,974
Male,52 years,1594
Male,52 years,555
Male,52 years,652
Male,52 years,1179
Male,52 years,1104
Male,52 years,919
Male,52 years,1340
Male,52 years,2555
Male,52 years,1148
Male,52 years,1414
Male,52 years,1148
Male,52 years,836
Male,52 years,466
Male,52 years,1360
Male,52 years,247
Male,52 years,925
Male,52 years,513
Male,52 years,463
Male,52 years,557
Male,52 years,1195
Male,52 years,456
Male,53 years,32611
Male,53 years,400
Male,53 years,3331
Male,53 years,1332
Male,53 years,2013
Male,53 years,1733
Male,53 years,1611
Male,53 years,700
Male,53 years,618
Male,53 years,296
Male,53 years,958
Male,53 years,1464
Male,53 years,546
Male,53 years,645
Male,53 years,1099
Male,53 years,989
Male,53 years,873
Male,53 years,1263
Male,53 years,2452
Male,53 years,1099
Male,53 years,1285
Male,53 years,1136
Male,53 years,881
Male,53 years,424
Male,53 years,1308
Male,53 years,243
Male,53 years,880
Male,53 years,468
Male,53 years,438
Male,53 years,553
Male,53 years,1141
Male,53 years,432
Male,54 years,32050
Male,54 years,423
Male,54 years,3389
Male,54 years,1291
Male,54 years,1882
Male,54 years,1649
Male,54 years,1580
Male,54 years,659
Male,54 years,600
Male,54 years,315
Male,54 years,911
Male,54 years,1447
Male,54 years,579
Male,54 years,605
Male,54 years,1058
Male,54 years,973
Male,54 years,850
Male,54 years,1305
Male,54 years,2325
Male,54 years,1052
Male,54 years,1307
Male,54 years,1124
Male,54 years,806
Male,54 years,418
Male,54 years,1321
Male,54 years,244
Male,54 years,919
Male,54 years,445
Male,54 years,487
Male,54 years,538
Male,54 years,1144
Male,54 years,404
Male,55 years,31353
Male,55 years,412
Male,55 years,3075
Male,55 years,1334
Male,55 years,1805
Male,55 years,1622
Male,55 years,1513
Male,55 years,698
Male,55 years,605
Male,55 years,275
Male,55 years,854
Male,55 years,1355
Male,55 years,494
Male,55 years,591
Male,55 years,1081
Male,55 years,961
Male,55 years,867
Male,55 years,1278
Male,55 years,2455
Male,55 years,1007
Male,55 years,1298
Male,55 years,1109
Male,55 years,872
Male,55 years,408
Male,55 years,1306
Male,55 years,242
Male,55 years,903
Male,55 years,491
Male,55 years,451
Male,55 years,542
Male,55 years,1075
Male,55 years,374
Male,56 years,30684
Male,56 years,377
Male,56 years,3168
Male,56 years,1249
Male,56 years,1695
Male,56 years,1483
Male,56 years,1504
Male,56 years,679
Male,56 years,554
Male,56 years,283
Male,56 years,877
Male,56 years,1352
Male,56 years,535
Male,56 years,542
Male,56 years,1013
Male,56 years,985
Male,56 years,828
Male,56 years,1286
Male,56 years,2364
Male,56 years,1042
Male,56 years,1227
Male,56 years,1130
Male,56 years,828
Male,56 years,438
Male,56 years,1238
Male,56 years,224
Male,56 years,888
Male,56 years,461
Male,56 years,415
Male,56 years,550
Male,56 years,1062
Male,56 years,407
Male,57 years,30891
Male,57 years,355
Male,57 years,3166
Male,57 years,1295
Male,57 years,1672
Male,57 years,1491
Male,57 years,1464
Male,57 years,666
Male,57 years,522
Male,57 years,307
Male,57 years,845
Male,57 years,1425
Male,57 years,532
Male,57 years,585
Male,57 years,1080
Male,57 years,1038
Male,57 years,824
Male,57 years,1282
Male,57 years,2338
Male,57 years,1027
Male,57 years,1253
Male,57 years,1157
Male,57 years,820
Male,57 years,419
Male,57 years,1262
Male,57 years,245
Male,57 years,946
Male,57 years,455
Male,57 years,420
Male,57 years,515
Male,57 years,1095
Male,57 years,390
Male,58 years,29775
Male,58 years,356
Male,58 years,3113
Male,58 years,1278
Male,58 years,1600
Male,58 years,1445
Male,58 years,1349
Male,58 years,626
Male,58 years,529
Male,58 years,277
Male,58 years,834
Male,58 years,1198
Male,58 years,544
Male,58 years,567
Male,58 years,1042
Male,58 years,905
Male,58 years,841
Male,58 years,1317
Male,58 years,2230
Male,58 years,1040
Male,58 years,1203
Male,58 years,1081
Male,58 years,809
Male,58 years,356
Male,58 years,1201
Male,58 years,230
Male,58 years,917
Male,58 years,498
Male,58 years,464
Male,58 years,468
Male,58 years,1078
Male,58 years,379
Male,59 years,29196
Male,59 years,383
Male,59 years,3040
Male,59 years,1285
Male,59 years,1593
Male,59 years,1470
Male,59 years,1261
Male,59 years,638
Male,59 years,501
Male,59 years,263
Male,59 years,774
Male,59 years,1207
Male,59 years,489
Male,59 years,593
Male,59 years,985
Male,59 years,952
Male,59 years,797
Male,59 years,1285
Male,59 years,2166
Male,59 years,1031
Male,59 years,1176
Male,59 years,1124
Male,59 years,837
Male,59 years,351
Male,59 years,1133
Male,59 years,212
Male,59 years,905
Male,59 years,444
Male,59 years,451
Male,59 years,515
Male,59 years,962
Male,59 years,373
Male,60 years,28455
Male,60 years,356
Male,60 years,2961
Male,60 years,1254
Male,60 years,1502
Male,60 years,1435
Male,60 years,1276
Male,60 years,594
Male,60 years,506
Male,60 years,269
Male,60 years,772
Male,60 years,1111
Male,60 years,463
Male,60 years,565
Male,60 years,1015
Male,60 years,985
Male,60 years,783
Male,60 years,1277
Male,60 years,2108
Male,60 years,1001
Male,60 years,1184
Male,60 years,998
Male,60 years,769
Male,60 years,376
Male,60 years,1161
Male,60 years,213
Male,60 years,845
Male,60 years,432
Male,60 years,429
Male,60 years,478
Male,60 years,963
Male,60 years,374
Male,61 years,27849
Male,61 years,334
Male,61 years,2829
Male,61 years,1190
Male,61 years,1427
Male,61 years,1438
Male,61 years,1237
Male,61 years,599
Male,61 years,496
Male,61 years,263
Male,61 years,754
Male,61 years,1128
Male,61 years,542
Male,61 years,517
Male,61 years,979
Male,61 years,861
Male,61 years,756
Male,61 years,1156
Male,61 years,2084
Male,61 years,973
Male,61 years,1152
Male,61 years,1097
Male,61 years,730
Male,61 years,360
Male,61 years,1142
Male,61 years,222
Male,61 years,876
Male,61 years,473
Male,61 years,441
Male,61 years,464
Male,61 years,945
Male,61 years,384
Male,62 years,27116
Male,62 years,333
Male,62 years,2781
Male,62 years,1188
Male,62 years,1399
Male,62 years,1310
Male,62 years,1126
Male,62 years,645
Male,62 years,478
Male,62 years,266
Male,62 years,707
Male,62 years,1025
Male,62 years,485
Male,62 years,534
Male,62 years,962
Male,62 years,836
Male,62 years,754
Male,62 years,1120
Male,62 years,2048
Male,62 years,1036
Male,62 years,1115
Male,62 years,958
Male,62 years,760
Male,62 years,333
Male,62 years,1122
Male,62 years,225
Male,62 years,902
Male,62 years,409
Male,62 years,436
Male,62 years,473
Male,62 years,944
Male,62 years,406
Male,63 years,25884
Male,63 years,326
Male,63 years,2626
Male,63 years,1109
Male,63 years,1302
Male,63 years,1309
Male,63 years,1115
Male,63 years,574
Male,63 years,482
Male,63 years,226
Male,63 years,659
Male,63 years,979
Male,63 years,432
Male,63 years,498
Male,63 years,929
Male,63 years,825
Male,63 years,782
Male,63 years,1092
Male,63 years,1885
Male,63 years,983
Male,63 years,1149
Male,63 years,939
Male,63 years,699
Male,63 years,328
Male,63 years,1031
Male,63 years,228
Male,63 years,890
Male,63 years,436
Male,63 years,403
Male,63 years,420
Male,63 years,926
Male,63 years,302
Male,64 years,25127
Male,64 years,287
Male,64 years,2456
Male,64 years,1092
Male,64 years,1241
Male,64 years,1277
Male,64 years,1031
Male,64 years,593
Male,64 years,450
Male,64 years,216
Male,64 years,650
Male,64 years,933
Male,64 years,406
Male,64 years,483
Male,64 years,870
Male,64 years,760
Male,64 years,712
Male,64 years,1069
Male,64 years,1862
Male,64 years,943
Male,64 years,1132
Male,64 years,997
Male,64 years,643
Male,64 years,321
Male,64 years,1096
Male,64 years,206
Male,64 years,874
Male,64 years,430
Male,64 years,401
Male,64 years,430
Male,64 years,903
Male,64 years,363
Male,65 years,24900
Male,65 years,322
Male,65 years,2456
Male,65 years,1033
Male,65 years,1247
Male,65 years,1197
Male,65 years,1073
Male,65 years,511
Male,65 years,458
Male,65 years,214
Male,65 years,627
Male,65 years,893
Male,65 years,470
Male,65 years,502
Male,65 years,904
Male,65 years,728
Male,65 years,691
Male,65 years,1061
Male,65 years,1837
Male,65 years,975
Male,65 years,1051
Male,65 years,960
Male,65 years,690
Male,65 years,303
Male,65 years,1055
Male,65 years,216
Male,65 years,853
Male,65 years,423
Male,65 years,410
Male,65 years,457
Male,65 years,945
Male,65 years,338
Male,66 years,23759
Male,66 years,283
Male,66 years,2204
Male,66 years,1027
Male,66 years,1090
Male,66 years,1204
Male,66 years,968
Male,66 years,564
Male,66 years,404
Male,66 years,217
Male,66 years,658
Male,66 years,914
Male,66 years,413
Male,66 years,473
Male,66 years,817
Male,66 years,740
Male,66 years,647
Male,66 years,915
Male,66 years,1798
Male,66 years,936
Male,66 years,1093
Male,66 years,948
Male,66 years,619
Male,66 years,288
Male,66 years,1034
Male,66 years,229
Male,66 years,866
Male,66 years,412
Male,66 years,363
Male,66 years,383
Male,66 years,894
Male,66 years,358
Male,67 years,23627
Male,67 years,271
Male,67 years,2194
Male,67 years,974
Male,67 years,1075
Male,67 years,1228
Male,67 years,1028
Male,67 years,546
Male,67 years,401
Male,67 years,229
Male,67 years,630
Male,67 years,882
Male,67 years,406
Male,67 years,457
Male,67 years,894
Male,67 years,710
Male,67 years,672
Male,67 years,976
Male,67 years,1683
Male,67 years,945
Male,67 years,998
Male,67 years,908
Male,67 years,692
Male,67 years,313
Male,67 years,1019
Male,67 years,194
Male,67 years,844
Male,67 years,419
Male,67 years,390
Male,67 years,419
Male,67 years,905
Male,67 years,325
Male,68 years,22502
Male,68 years,291
Male,68 years,2065
Male,68 years,970
Male,68 years,1077
Male,68 years,1145
Male,68 years,909
Male,68 years,550
Male,68 years,368
Male,68 years,243
Male,68 years,591
Male,68 years,861
Male,68 years,337
Male,68 years,421
Male,68 years,785
Male,68 years,693
Male,68 years,637
Male,68 years,886
Male,68 years,1727
Male,68 years,857
Male,68 years,998
Male,68 years,915
Male,68 years,618
Male,68 years,287
Male,68 years,926
Male,68 years,213
Male,68 years,803
Male,68 years,401
Male,68 years,358
Male,68 years,381
Male,68 years,867
Male,68 years,322
Male,69 years,22594
Male,69 years,276
Male,69 years,2147
Male,69 years,976
Male,69 years,1127
Male,69 years,1154
Male,69 years,947
Male,69 years,490
Male,69 years,382
Male,69 years,212
Male,69 years,536
Male,69 years,788
Male,69 years,409
Male,69 years,424
Male,69 years,818
Male,69 years,653
Male,69 years,673
Male,69 years,888
Male,69 years,1713
Male,69 years,834
Male,69 years,1043
Male,69 years,875
Male,69 years,578
Male,69 years,324
Male,69 years,990
Male,69 years,201
Male,69 years,791
Male,69 years,406
Male,69 years,371
Male,69 years,358
Male,69 years,889
Male,69 years,321
Male,70 years,21253
Male,70 years,277
Male,70 years,1930
Male,70 years,927
Male,70 years,1031
Male,70 years,1148
Male,70 years,845
Male,70 years,471
Male,70 years,371
Male,70 years,244
Male,70 years,545
Male,70 years,726
Male,70 years,369
Male,70 years,391
Male,70 years,788
Male,70 years,634
Male,70 years,604
Male,70 years,890
Male,70 years,1607
Male,70 years,881
Male,70 years,960
Male,70 years,805
Male,70 years,572
Male,70 years,262
Male,70 years,863
Male,70 years,191
Male,70 years,727
Male,70 years,395
Male,70 years,333
Male,70 years,348
Male,70 years,837
Male,70 years,281
Male,71 years,20449
Male,71 years,238
Male,71 years,1863
Male,71 years,861
Male,71 years,953
Male,71 years,1112
Male,71 years,824
Male,71 years,410
Male,71 years,353
Male,71 years,199
Male,71 years,488
Male,71 years,767
Male,71 years,357
Male,71 years,374
Male,71 years,767
Male,71 years,631
Male,71 years,596
Male,71 years,813
Male,71 years,1518
Male,71 years,838
Male,71 years,908
Male,71 years,780
Male,71 years,547
Male,71 years,248
Male,71 years,855
Male,71 years,200
Male,71 years,805
Male,71 years,355
Male,71 years,386
Male,71 years,340
Male,71 years,772
Male,71 years,291
Male,72 years,19965
Male,72 years,248
Male,72 years,1821
Male,72 years,803
Male,72 years,959
Male,72 years,1107
Male,72 years,785
Male,72 years,471
Male,72 years,315
Male,72 years,202
Male,72 years,523
Male,72 years,743
Male,72 years,321
Male,72 years,367
Male,72 years,747
Male,72 years,595
Male,72 years,605
Male,72 years,844
Male,72 years,1482
Male,72 years,782
Male,72 years,886
Male,72 years,789
Male,72 years,505
Male,72 years,224
Male,72 years,852
Male,72 years,191
Male,72 years,745
Male,72 years,291
Male,72 years,345
Male,72 years,363
Male,72 years,763
Male,72 years,291
Male,73 years,19121
Male,73 years,233
Male,73 years,1731
Male,73 years,826
Male,73 years,888
Male,73 years,994
Male,73 years,773
Male,73 years,421
Male,73 years,277
Male,73 years,193
Male,73 years,462
Male,73 years,707
Male,73 years,328
Male,73 years,387
Male,73 years,656
Male,73 years,642
Male,73 years,542
Male,73 years,759
Male,73 years,1432
Male,73 years,760
Male,73 years,893
Male,73 years,724
Male,73 years,509
Male,73 years,262
Male,73 years,852
Male,73 years,155
Male,73 years,699
Male,73 years,319
Male,73 years,345
Male,73 years,322
Male,73 years,755
Male,73 years,275
Male,74 years,18493
Male,74 years,246
Male,74 years,1710
Male,74 years,825
Male,74 years,854
Male,74 years,965
Male,74 years,728
Male,74 years,477
Male,74 years,289
Male,74 years,192
Male,74 years,468
Male,74 years,647
Male,74 years,328
Male,74 years,313
Male,74 years,654
Male,74 years,551
Male,74 years,540
Male,74 years,713
Male,74 years,1413
Male,74 years,758
Male,74 years,785
Male,74 years,700
Male,74 years,500
Male,74 years,223
Male,74 years,819
Male,74 years,141
Male,74 years,723
Male,74 years,318
Male,74 years,313
Male,74 years,308
Male,74 years,750
Male,74 years,242
Male,75 years,17473
Male,75 years,207
Male,75 years,1620
Male,75 years,793
Male,75 years,793
Male,75 years,825
Male,75 years,735
Male,75 years,392
Male,75 years,275
Male,75 years,164
Male,75 years,440
Male,75 years,621
Male,75 years,289
Male,75 years,290
Male,75 years,644
Male,75 years,576
Male,75 years,507
Male,75 years,752
Male,75 years,1317
Male,75 years,705
Male,75 years,738
Male,75 years,626
Male,75 years,546
Male,75 years,224
Male,75 years,731
Male,75 years,154
Male,75 years,683
Male,75 years,284
Male,75 years,270
Male,75 years,287
Male,75 years,732
Male,75 years,253
Male,76 years,16094
Male,76 years,201
Male,76 years,1476
Male,76 years,757
Male,76 years,781
Male,76 years,828
Male,76 years,653
Male,76 years,315
Male,76 years,251
Male,76 years,172
Male,76 years,415
Male,76 years,553
Male,76 years,272
Male,76 years,286
Male,76 years,563
Male,76 years,495
Male,76 years,478
Male,76 years,697
Male,76 years,1149
Male,76 years,686
Male,76 years,692
Male,76 years,627
Male,76 years,427
Male,76 years,228
Male,76 years,677
Male,76 years,140
Male,76 years,577
Male,76 years,297
Male,76 years,270
Male,76 years,254
Male,76 years,663
Male,76 years,214
Male,77 years,14601
Male,77 years,184
Male,77 years,1310
Male,77 years,716
Male,77 years,692
Male,77 years,717
Male,77 years,580
Male,77 years,360
Male,77 years,235
Male,77 years,136
Male,77 years,345
Male,77 years,524
Male,77 years,248
Male,77 years,290
Male,77 years,523
Male,77 years,473
Male,77 years,442
Male,77 years,629
Male,77 years,1101
Male,77 years,593
Male,77 years,609
Male,77 years,581
Male,77 years,413
Male,77 years,179
Male,77 years,597
Male,77 years,137
Male,77 years,512
Male,77 years,237
Male,77 years,234
Male,77 years,224
Male,77 years,594
Male,77 years,186
Male,78 years,13392
Male,78 years,156
Male,78 years,1265
Male,78 years,684
Male,78 years,616
Male,78 years,611
Male,78 years,506
Male,78 years,303
Male,78 years,218
Male,78 years,140
Male,78 years,389
Male,78 years,486
Male,78 years,208
Male,78 years,248
Male,78 years,509
Male,78 years,438
Male,78 years,416
Male,78 years,530
Male,78 years,971
Male,78 years,520
Male,78 years,584
Male,78 years,520
Male,78 years,350
Male,78 years,165
Male,78 years,567
Male,78 years,110
Male,78 years,483
Male,78 years,230
Male,78 years,218
Male,78 years,216
Male,78 years,553
Male,78 years,182
Male,79 years,12166
Male,79 years,168
Male,79 years,1220
Male,79 years,655
Male,79 years,566
Male,79 years,535
Male,79 years,469
Male,79 years,270
Male,79 years,178
Male,79 years,109
Male,79 years,291
Male,79 years,392
Male,79 years,213
Male,79 years,206
Male,79 years,445
Male,79 years,392
Male,79 years,314
Male,79 years,477
Male,79 years,851
Male,79 years,500
Male,79 years,559
Male,79 years,486
Male,79 years,349
Male,79 years,155
Male,79 years,499
Male,79 years,100
Male,79 years,428
Male,79 years,219
Male,79 years,222
Male,79 years,197
Male,79 years,502
Male,79 years,199
Male,80 years,10674
Male,80 years,116
Male,80 years,1034
Male,80 years,591
Male,80 years,478
Male,80 years,472
Male,80 years,373
Male,80 years,249
Male,80 years,155
Male,80 years,92
Male,80 years,272
Male,80 years,372
Male,80 years,158
Male,80 years,202
Male,80 years,435
Male,80 years,334
Male,80 years,295
Male,80 years,516
Male,80 years,790
Male,80 years,372
Male,80 years,431
Male,80 years,383
Male,80 years,321
Male,80 years,150
Male,80 years,499
Male,80 years,82
Male,80 years,407
Male,80 years,171
Male,80 years,176
Male,80 years,175
Male,80 years,456
Male,80 years,117
Male,81 years,9470
Male,81 years,117
Male,81 years,922
Male,81 years,528
Male,81 years,420
Male,81 years,434
Male,81 years,301
Male,81 years,229
Male,81 years,146
Male,81 years,92
Male,81 years,264
Male,81 years,326
Male,81 years,146
Male,81 years,187
Male,81 years,367
Male,81 years,273
Male,81 years,271
Male,81 years,421
Male,81 years,634
Male,81 years,395
Male,81 years,421
Male,81 years,355
Male,81 years,276
Male,81 years,105
Male,81 years,441
Male,81 years,70
Male,81 years,349
Male,81 years,151
Male,81 years,163
Male,81 years,167
Male,81 years,399
Male,81 years,100
Male,82 years,8779
Male,82 years,109
Male,82 years,919
Male,82 years,563
Male,82 years,410
Male,82 years,410
Male,82 years,274
Male,82 years,174
Male,82 years,121
Male,82 years,80
Male,82 years,223
Male,82 years,293
Male,82 years,159
Male,82 years,141
Male,82 years,312
Male,82 years,266
Male,82 years,239
Male,82 years,393
Male,82 years,622
Male,82 years,340
Male,82 years,380
Male,82 years,333
Male,82 years,246
Male,82 years,100
Male,82 years,395
Male,82 years,88
Male,82 years,289
Male,82 years,147
Male,82 years,138
Male,82 years,127
Male,82 years,365
Male,82 years,123
Male,83 years,7900
Male,83 years,101
Male,83 years,846
Male,83 years,462
Male,83 years,312
Male,83 years,343
Male,83 years,230
Male,83 years,173
Male,83 years,115
Male,83 years,68
Male,83 years,215
Male,83 years,264
Male,83 years,134
Male,83 years,146
Male,83 years,296
Male,83 years,249
Male,83 years,222
Male,83 years,332
Male,83 years,528
Male,83 years,270
Male,83 years,364
Male,83 years,304
Male,83 years,233
Male,83 years,117
Male,83 years,365
Male,83 years,73
Male,83 years,275
Male,83 years,150
Male,83 years,133
Male,83 years,136
Male,83 years,340
Male,83 years,104
Male,84 years,6765
Male,84 years,87
Male,84 years,739
Male,84 years,410
Male,84 years,277
Male,84 years,290
Male,84 years,218
Male,84 years,159
Male,84 years,106
Male,84 years,66
Male,84 years,194
Male,84 years,204
Male,84 years,105
Male,84 years,116
Male,84 years,254
Male,84 years,214
Male,84 years,187
Male,84 years,309
Male,84 years,461
Male,84 years,276
Male,84 years,278
Male,84 years,272
Male,84 years,167
Male,84 years,88
Male,84 years,297
Male,84 years,57
Male,84 years,232
Male,84 years,119
Male,84 years,110
Male,84 years,107
Male,84 years,272
Male,84 years,94
Male,85 years,6154
Male,85 years,64
Male,85 years,677
Male,85 years,367
Male,85 years,246
Male,85 years,250
Male,85 years,206
Male,85 years,126
Male,85 years,84
Male,85 years,65
Male,85 years,143
Male,85 years,200
Male,85 years,127
Male,85 years,130
Male,85 years,216
Male,85 years,178
Male,85 years,174
Male,85 years,252
Male,85 years,457
Male,85 years,244
Male,85 years,259
Male,85 years,243
Male,85 years,183
Male,85 years,81
Male,85 years,266
Male,85 years,53
Male,85 years,219
Male,85 years,109
Male,85 years,114
Male,85 years,108
Male,85 years,234
Male,85 years,79
Male,86 years,5370
Male,86 years,73
Male,86 years,574
Male,86 years,335
Male,86 years,207
Male,86 years,226
Male,86 years,153
Male,86 years,118
Male,86 years,81
Male,86 years,61
Male,86 years,125
Male,86 years,186
Male,86 years,94
Male,86 years,111
Male,86 years,183
Male,86 years,161
Male,86 years,158
Male,86 years,236
Male,86 years,412
Male,86 years,179
Male,86 years,235
Male,86 years,210
Male,86 years,168
Male,86 years,71
Male,86 years,235
Male,86 years,38
Male,86 years,204
Male,86 years,106
Male,86 years,92
Male,86 years,98
Male,86 years,168
Male,86 years,72
Male,87 years,4515
Male,87 years,57
Male,87 years,509
Male,87 years,288
Male,87 years,185
Male,87 years,203
Male,87 years,140
Male,87 years,107
Male,87 years,65
Male,87 years,37
Male,87 years,90
Male,87 years,142
Male,87 years,73
Male,87 years,99
Male,87 years,140
Male,87 years,116
Male,87 years,113
Male,87 years,219
Male,87 years,336
Male,87 years,164
Male,87 years,191
Male,87 years,161
Male,87 years,130
Male,87 years,52
Male,87 years,195
Male,87 years,50
Male,87 years,155
Male,87 years,92
Male,87 years,91
Male,87 years,75
Male,87 years,177
Male,87 years,63
Male,88 years,3771
Male,88 years,37
Male,88 years,444
Male,88 years,256
Male,88 years,105
Male,88 years,138
Male,88 years,101
Male,88 years,77
Male,88 years,52
Male,88 years,42
Male,88 years,101
Male,88 years,111
Male,88 years,72
Male,88 years,69
Male,88 years,153
Male,88 years,94
Male,88 years,114
Male,88 years,163
Male,88 years,263
Male,88 years,139
Male,88 years,148
Male,88 years,145
Male,88 years,108
Male,88 years,66
Male,88 years,176
Male,88 years,34
Male,88 years,154
Male,88 years,75
Male,88 years,68
Male,88 years,83
Male,88 years,131
Male,88 years,52
Male,89 years,3036
Male,89 years,32
Male,89 years,354
Male,89 years,194
Male,89 years,141
Male,89 years,131
Male,89 years,82
Male,89 years,73
Male,89 years,32
Male,89 years,31
Male,89 years,67
Male,89 years,81
Male,89 years,58
Male,89 years,53
Male,89 years,98
Male,89 years,113
Male,89 years,75
Male,89 years,133
Male,89 years,209
Male,89 years,87
Male,89 years,115
Male,89 years,141
Male,89 years,77
Male,89 years,42
Male,89 years,137
Male,89 years,17
Male,89 years,112
Male,89 years,49
Male,89 years,53
Male,89 years,55
Male,89 years,138
Male,89 years,56
Male,90 years,2444
Male,90 years,17
Male,90 years,271
Male,90 years,181
Male,90 years,85
Male,90 years,121
Male,90 years,72
Male,90 years,49
Male,90 years,26
Male,90 years,17
Male,90 years,57
Male,90 years,67
Male,90 years,44
Male,90 years,39
Male,90 years,78
Male,90 years,64
Male,90 years,68
Male,90 years,113
Male,90 years,193
Male,90 years,81
Male,90 years,93
Male,90 years,99
Male,90 years,78
Male,90 years,34
Male,90 years,111
Male,90 years,28
Male,90 years,99
Male,90 years,49
Male,90 years,45
Male,90 years,39
Male,90 years,94
Male,90 years,32
Male,91 years,1950
Male,91 years,27
Male,91 years,244
Male,91 years,128
Male,91 years,58
Male,91 years,91
Male,91 years,51
Male,91 years,45
Male,91 years,40
Male,91 years,11
Male,91 years,37
Male,91 years,56
Male,91 years,29
Male,91 years,36
Male,91 years,62
Male,91 years,61
Male,91 years,49
Male,91 years,95
Male,91 years,148
Male,91 years,76
Male,91 years,69
Male,91 years,80
Male,91 years,63
Male,91 years,34
Male,91 years,74
Male,91 years,21
Male,91 years,69
Male,91 years,40
Male,91 years,30
Male,91 years,36
Male,91 years,71
Male,91 years,19
Male,92 years,1297
Male,92 years,14
Male,92 years,169
Male,92 years,93
