Sex,Single Year of Age,VALUE
Male,10 years,1985
Male,10 years,847
Male,10 years,793
Male,10 years,367
Male,10 years,1096
Male,10 years,1956
Male,10 years,643
Male,10 years,715
Male,10 years,1266
Male,10 years,1183
Male,10 years,914
Male,10 years,1295
Male,10 years,2821
Male,10 years,1043
Male,10 years,1476
Male,10 years,1290
Male,10 years,904
Male,10 years,450
Male,10 years,1556
Male,10 years,245
Male,10 years,968
Male,10 years,524
Male,10 years,553
Male,10 years,651
Male,10 years,1277
Male,10 years,544
Male,11 years,38296
Male,11 years,514
Male,11 years,3053
Male,11 years,1536
Male,11 years,2807
Male,11 years,2382
Male,11 years,2127
Male,11 years,800
Male,11 years,824
Male,11 years,391
Male,11 years,1120
Male,11 years,1978
Male,11 years,659
Male,11 years,770
Male,11 years,1220
Male,11 years,1247
Male,11 years,908
Male,11 years,1393
Male,11 years,2979
Male,11 years,1042
Male,11 years,1492
Male,11 years,1268
Male,11 years,934
Male,11 years,491
Male,11 years,1491
Male,11 years,266
Male,11 years,1015
Male,11 years,553
Male,11 years,497
Male,11 years,704
Male,11 years,1330
Male,11 years,505
Male,12 years,38957
Male,12 years,441
Male,12 years,3236
Male,12 years,1561
Male,12 years,3013
Male,12 years,2459
Male,12 years,2057
Male,12 years,825
Male,12 years,818
Male,12 years,381
Male,12 years,1098
Male,12 years,1964
Male,12 years,681
Male,12 years,752
Male,12 years,1215
Male,12 years,1261
Male,12 years,984
Male,12 years,1356
Male,12 years,3072
Male,12 years,1165
Male,12 years,1521
Male,12 years,1346
Male,12 years,984
Male,12 years,443
Male,12 years,1530
Male,12 years,256
Male,12 years,1000
Male,12 years,508
Male,12 years,521
Male,12 years,645
Male,12 years,1332
Male,12 years,532
Male,13 years,38474
Male,13 years,484
Male,13 years,3064
Male,13 years,1544
Male,13 years,2830
Male,13 years,2373
Male,13 years,2058
Male,13 years,843
Male,13 years,788
Male,13 years,385
Male,13 years,1190
Male,13 years,1897
Male,13 years,694
Male,13 years,743
Male,13 years,1338
Male,13 years,1294
Male,13 years,960
Male,13 years,1292
Male,13 years,2936
Male,13 years,1107
Male,13 years,1516
Male,13 years,1256
Male,13 years,942
Male,13 years,511
Male,13 years,1568
Male,13 years,259
Male,13 years,969
Male,13 years,549
Male,13 years,480
Male,13 years,709
Male,13 years,1377
Male,13 years,518
Male,14 years,37352
Male,14 years,486
Male,14 years,2806
Male,14 years,1453
Male,14 years,2714
Male,14 years,2359
Male,14 years,2037
Male,14 years,855
Male,14 years,790
Male,14 years,372
Male,14 years,1089
Male,14 years,1841
Male,14 years,687
Male,14 years,733
Male,14 years,1213
Male,14 years,1246
Male,14 years,954
Male,14 years,1271
Male,14 years,2855
Male,14 years,1102
Male,14 years,1453
Male,14 years,1263
Male,14 years,960
Male,14 years,456
Male,14 years,1538
Male,14 years,265
Male,14 years,974
Male,14 years,523
Male,14 years,525
Male,14 years,641
Male,14 years,1329
Male,14 years,562
Male,15 years,35948
Male,15 years,432
Male,15 years,2713
Male,15 years,1392
Male,15 years,2528
Male,15 years,2147
Male,15 years,1933
Male,15 years,828
Male,15 years,747
Male,15 years,384
Male,15 years,1110
Male,15 years,1771
Male,15 years,655
Male,15 years,703
Male,15 years,1191
Male,15 years,1195
Male,15 years,981
Male,15 years,1323
Male,15 years,2795
Male,15 years,1092
Male,15 years,1409
Male,15 years,1250
Male,15 years,954
Male,15 years,444
Male,15 years,1381
Male,15 years,265
