Sex,Age,Population
Male,13,1190
Male,13,1897
Male,13,694
Male,13,743
Male,13,1338
Male,13,1294
Male,13,960
Male,13,1292
Male,13,2936
Male,13,1107
Male,13,1516
Male,13,1256
Male,13,942
Male,13,511
Male,13,1568
Male,13,259
Male,13,969
Male,13,549
Male,13,480
Male,13,709
Male,13,1377
Male,13,518
Male,14,37352
Male,14,486
Male,14,2806
Male,14,1453
Male,14,2714
Male,14,2359
Male,14,2037
Male,14,855
Male,14,790
Male,14,372
Male,14,1089
Male,14,1841
Male,14,687
Male,14,733
Male,14,1213
Male,14,1246
Male,14,954
Male,14,1271
Male,14,2855
Male,14,1102
Male,14,1453
Male,14,1263
Male,14,960
Male,14,456
Male,14,1538
Male,14,265
Male,14,974
Male,14,523
Male,14,525
Male,14,641
Male,14,1329
Male,14,562
Male,15,35948
Male,15,432
Male,15,2713
Male,15,1392
Male,15,2528
Male,15,2147
Male,15,1933
Male,15,828
Male,15,747
Male,15,384
Male,15,1110
Male,15,1771
Male,15,655
Male,15,703
Male,15,1191
Male,15,1195
Male,15,981
Male,15,1323
Male,15,2795
Male,15,1092
Male,15,1409
Male,15,1250
Male,15,954
Male,15,444
Male,15,1381
Male,15,265
Male,15,929
Male,15,511
Male,15,512
Male,15,628
Male,15,1271
Male,15,474
Male,16,34646
Male,16,431
Male,16,2750
Male,16,1381
Male,16,2293
Male,16,2104
Male,16,1803
Male,16,783
Male,16,680
Male,16,340
Male,16,1052
Male,16,1705
Male,16,600
Male,16,713
Male,16,1197
Male,16,1077
Male,16,903
Male,16,1219
Male,16,2609
Male,16,988
Male,16,1436
Male,16,1160
Male,16,945
Male,16,419
Male,16,1519
Male,16,265
Male,16,945
Male,16,503
Male,16,461
Male,16,611
Male,16,1292
Male,16,462
Male,17,34981
Male,17,463
Male,17,2906
Male,17,1374
Male,17,2371
Male,17,2078
Male,17,1884
Male,17,726
Male,17,703
Male,17,331
Male,17,1032
Male,17,1613
Male,17,638
Male,17,685
Male,17,1204
Male,17,1168
Male,17,954
Male,17,1225
Male,17,2674
Male,17,1057
Male,17,1391
Male,17,1240
Male,17,863
Male,17,438
Male,17,1457
Male,17,270
Male,17,946
Male,17,481
Male,17,481
Male,17,596
Male,17,1236
Male,17,496
Male,18,33900
Male,18,437
Male,18,3143
Male,18,1427
Male,18,2221
Male,18,2022
Male,18,1888
Male,18,715
Male,18,665
Male,18,337
Male,18,999
Male,18,1593
Male,18,637
Male,18,641
Male,18,1142
Male,18,997
Male,18,860
Male,18,1360
Male,18,2443
Male,18,985
Male,18,1396
Male,18,1089
Male,18,882
Male,18,512
Male,18,1332
Male,18,229
Male,18,873
Male,18,487
Male,18,435
Male,18,574
Male,18,1175
Male,18,404
Male,19,32867
Male,19,446
Male,19,3669
Male,19,1577
Male,19,2167
Male,19,2041
Male,19,1744
Male,19,562
Male,19,593
Male,19,287
Male,19,894
Male,19,1507
